gene_id,BonitaEye1,BonitaEye2,BonitaEye3,BonitaEye4,CuevaEye1,CuevaEye2,CuevaEye3,CuevaEye4,LunaEye1,LunaEye2,LunaEye3,LunaEye4,PSOEye1,PSOEye2,PSOEye3,PSOEye4
gene5561,6,0,4,13,114,32,10,0,49,0,48,7,21,29,6,0
gene5560,14,0,0,0,31,59,7,0,48,0,13,3,17,26,4,2
gene19208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene19209,119,6,74,0,0,115,12,8,60,0,111,33,232,160,63,12
gene5565,33,3,5,0,0,16,0,7,29,0,23,0,44,51,3,0
gene5564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene26509,35,3,28,0,5,143,19,0,124,0,83,84,187,49,31,0
gene26508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene26505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene26504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene26507,0,0,0,28,6,16,0,0,19,0,23,0,12,22,0,0
gene26506,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
gene26501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene26500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene26503,0,0,0,0,0,27,0,0,10,0,0,0,0,6,0,0
gene26502,87,0,0,0,0,469,0,8,217,0,106,36,64,33,0,0
gene8616,29,0,8,0,14,88,15,6,50,0,141,25,68,130,40,0
gene8617,21,0,0,25,0,21,0,22,15,0,6,0,0,14,0,0
gene8614,7,0,0,0,0,0,0,0,7,0,0,3,0,8,0,0
gene8615,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
gene8612,19,0,0,0,0,113,33,0,28,6,0,0,7,18,18,0
gene8613,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
gene8610,15,0,0,0,0,0,0,6,10,0,0,0,0,3,0,0
gene8611,34,0,16,25,13,37,0,10,49,0,31,26,34,68,6,0
gene8618,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
gene8619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene20833,6,0,0,0,0,8,0,6,0,0,0,0,7,0,0,0
gene20832,6,0,0,0,0,4,1,3,0,0,0,0,14,14,0,0
gene20831,398,26,95,84,10,324,72,2,184,1,49,31,1088,319,68,28
gene20830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene20837,21,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0
gene20836,0,0,0,0,5,3,0,0,0,0,0,0,3,0,0,0
gene20835,0,0,0,0,0,0,0,9,0,0,9,6,10,0,0,0
gene20834,74,4,35,12,0,92,23,0,42,0,8,6,182,78,16,0
gene20839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene20838,0,0,0,19,0,0,0,0,9,0,9,0,3,0,0,0
gene12642,0,0,0,0,0,18,0,0,16,0,23,0,13,4,3,0
gene16548,5,0,0,0,6,66,0,0,66,0,55,32,47,36,0,0
gene16549,12,0,0,0,0,24,0,0,34,0,6,0,13,7,9,0
gene18157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
