Sample,Year,Habitat,H2S,Light,Sex,Eye Diameter,Standard Length,Relative Eye Size
1,2007,Surface NS,-1,1,0,2.3,22.70,0.101
2,2007,Surface NS,-1,1,1,2.3,22.80,0.101
3,2007,Surface NS,-1,1,0,2.4,23.70,0.101
4,2007,Surface NS,-1,1,1,2.4,23.90,0.100
5,2007,Surface NS,-1,1,0,2.4,24.00,0.100
6,2007,Surface NS,-1,1,0,2.2,24.90,0.088
7,2007,Surface NS,-1,1,1,2.6,25.60,0.102
8,2007,Surface NS,-1,1,0,2.7,26.40,0.102
9,2007,Surface NS,-1,1,0,2.8,30.10,0.093
10,2007,Surface NS,-1,1,0,3,30.50,0.098
11,2007,Surface NS,-1,1,1,2.9,31.30,0.093
12,2007,Surface NS,-1,1,0,2.9,32.50,0.089
13,2007,Surface NS,-1,1,0,3.3,33.20,0.099
